iter	RMSE
0	14.10481752
1	13.25924846
2	12.43323296
3	11.80927472
4	11.15564417
5	10.64190617
6	10.17751412
7	9.719226801
8	9.336262477
9	8.90322545
10	8.557313767
11	8.223566349
12	7.924180321
13	7.640228858
14	7.434271744
15	7.235202358
16	7.045372058
17	6.861200608
18	6.723082195
19	6.585942118
20	6.447745999
21	6.318302734
22	6.206973693
23	6.12068242
24	6.029414045
25	5.959595916
26	5.889486595
27	5.838678834
28	5.780572069
29	5.729988423
30	5.693198925
31	5.645375851
32	5.606642086
33	5.576110739
34	5.539970208
35	5.505879049
36	5.47527585
37	5.448023687
38	5.426343327
39	5.40811912
40	5.388192837
41	5.374901981
42	5.367105703
43	5.352843356
44	5.334304341
45	5.309849027
46	5.286278294
47	5.265125759
48	5.252466199
49	5.240022388
50	5.225519035
51	5.203497918
52	5.193218613
53	5.173964776
54	5.158503035
55	5.138839048
56	5.129826403
57	5.111731238
58	5.103366327
59	5.092236684
60	5.078571626
61	5.073051061
62	5.0646262
63	5.050541582
64	5.037893384
65	5.028376767
66	5.014650455
67	4.999679222
68	4.986940405
69	4.978429125
70	4.968424933
71	4.965272204
72	4.950556606
73	4.941322295
74	4.926532269
75	4.913946134
76	4.905469015
77	4.892405517
78	4.883165546
79	4.873974776
80	4.866069825
81	4.854860263
82	4.843189741
83	4.835370261
84	4.826120871
85	4.817655144
86	4.811494186
87	4.805909136
88	4.79111881
89	4.787397786
90	4.782759132
91	4.77406186
92	4.765012971
93	4.750066389
94	4.747028734
95	4.729099696
96	4.72620315
97	4.709062573
98	4.69347021
99	4.678002408
